NATO spelling alphabet
A  Alfa
B  Bravo
C  Charlie
D  Delta
E  Echo
F  Foxtrot
G  Golf
H  Hotel
I  India
J  Juliett
K  Kilo
L  Lima
M  Mike
N  November
O  Oscar
P  Papa
Q  Quebec
R  Romeo
S  Sierra
T  Tango
U  Uniform
V  Victor
W  Whiskey
X  X-ray
Y  Yankee
Z  Zulu
    Space
.   Period
,   Comma
;   Semicolon
:   Colon
?   Question Mark
!   Exclamation Mark
@   At Sign
&   Ampersand
"   Double Quotation Mark
'   Apostrophe
-   Dash
/   Forward Slash
\   Backslash
(   Left Round Bracket / Parenthesis
)   Right Round Bracket / Parenthesis
[   Left Square Bracket
]   Right Square Bracket
{   Left Curly Bracket
}   Right Curly Bracket
<   Left Angle Bracket / Less-Than Sign
>   Right Angle Bracket / Greater-Than Sign
|   Vertical Bar / Pipe
°   Degree Symbol
*   Asterisk / Star
+   Plus Sign
=   Equal Sign
#   Number Sign / Pound Sign / Hash
§   Section Sign
$   Dollar Sign
€   Euro Sign
~   Tilde
_   Underscore
%   Percent Sign
^   Caret
0   Zero 
1   One 
2   Two 
3   Three 
4   Four 
5   Five 
6   Six 
7   Seven 
8   Eight 
9   Nine 
